# PLATFORMS WHOSE PRUNE STILL DEACTIVATES ON CRAWL ABSENCE ALONE
#
# Every platform listed here calls db.prune_unseen() WITHOUT a verify_gone oracle, so a row that
# misses three consecutive crawls is deactivated with NO affirmative answer from the source. That is
# EvidenceKind.ABSENCE deciding a listing's fate, which docs/ops/LISTING_LIVENESS.md §1-§3 says it
# may never do: a throttled run, a partial page or a source-side index gap is indistinguishable from
# a removal. Downstream, the row stops being searchable, ages into the 30-day retention window, and
# on an `enabled` platform is deleted permanently.
#
# THIS FILE IS A LEDGER OF A KNOWN GAP, NOT A PERMISSION SLIP. It exists so the gap is COUNTED and
# ATTRIBUTABLE instead of silent — the failure mode this repo has been burned by before (nine dark
# detectors reading as a clean bill of health). scripts/verify-prune-without-oracle-is-declared.ts
# enforces three things:
#
#   1. a production-searchable platform that prunes without an oracle and is NOT listed here is a
#      RED — a new platform cannot silently join this club;
#   2. a platform listed here that has SINCE gained an oracle must be deleted from this file — the
#      ledger is forced to shrink as platforms are fixed, so it cannot rot into a to-do list nobody
#      revisits;
#   3. the count is ratcheted. It may fall. Raising it is a deliberate, reviewed edit.
#
# HOW A PLATFORM LEAVES THIS FILE: give its scraper a control-validated `_verify_gone` and pass it to
# prune_unseen. scrapers/aqargate/run.py is the worked example (2026-09-06) and its barrier,
# scripts/verify-aqargate-absence-cannot-deactivate.ts, is the shape to copy — it EXECUTES the oracle
# against every UNKNOWN shape rather than grepping its source. Validate against the failure mode the
# platform ACTUALLY uses, not the one that is easiest to test: aqargate keeps serving HTTP 200 on an
# expired ad and only flips a status field, so "200 means live" would have called every dead ad
# alive. abeea learned the same lesson the expensive way and 9 rows were wrongly restored.
#
# RE-MEASURED FROM CI EGRESS 2026-09-21 (oracle-feasibility-probe.yml run 2, all 23 rows).
#
# EVERY ONE OF THE 13 "EGRESS BLOCKED" ROWS IS REACHABLE FROM CI. unreachable=0 on all of them.
# docs/ops/LISTING_LIVENESS.md 9.4 said exactly this would be true: such a note is a fact about the
# container that wrote it, never about the platform. Thirteen platforms had been written off on
# evidence about OUR network. The 2026-09-06 rows below were all measured from a cloud-routine
# container whose gateway 403s these hosts; where the CI measurement disagrees, CI wins and the row
# says so.
#
# Five rows changed conclusion, and two of those OVERTURN a "do not bother" verdict. That is worth
# stating plainly: the earlier findings were not sloppy — each was correct about what it tested —
# but "no signal found among the markers I tried" was written down as "this platform has no signal",
# and the gap between those two sentences hid a usable oracle on two platforms for fifteen days.
#
# NOTHING HERE AUTHORISES A DEACTIVATION. "A marker appears on dead pages and on no live page" is a
# reason to go write and control-validate a signal against a larger cohort, with an in-run canary.
# It is not coverage and not permission (LISTING_LIVENESS.md 9.6). A platform leaves this file when
# its oracle is WIRED, not when a probe says one might exist.
#
# format:  platform | probe status (as last measured) | note
#
abralosol      | EGRESS BLOCKED                  | 2026-09-06: gateway denies abralosol.com (403 CONNECT). UNKNOWN about our read. Activated 2026-09-03; no inactive rows yet.
abwbna         | EGRESS BLOCKED, FIX EXISTS      | 2026-09-06: gateway denies BOTH abwbna.nzl-backend.com and www.abwbna.com (403 CONNECT), so it cannot be control-validated from a cloud routine. UNKNOWN about our read. The FIX is already written: aldarim — the same Nuzul SaaS platform, a different tenant, identical run.py shape — gained a canary-gated oracle the same day (RealEstate ld+json = alive, a 200 «Property Not Found» soft-404 = gone). Port scrapers/aldarim/run.py's oracle block verbatim, changing only the table names, and control-validate it from an egress that can reach this tenant.
alhoshan       | NO DEAD COHORT                  | 2026-09-06: no inactive rows. Live controls 12/12 HTTP 200 (all redirect, consistently). Nothing to validate a death limb against.
alkhaas        | NO DEAD COHORT                  | 2026-09-06: no inactive rows. Live controls 12/12 HTTP 200, 12 distinct titles.
alobid         | EGRESS BLOCKED, FIX EXISTS      | 2026-09-06: gateway denies BOTH alobidoffice.nzl-backend.com and www.alobidoffice.com (403 CONNECT). UNKNOWN about our read, never about the platform. Third Nuzul SaaS tenant; port aldarim's canary-gated oracle verbatim and control-validate from a reachable egress — see the abwbna row.
aouj           | EGRESS BLOCKED                  | 2026-09-06: gateway denies aoujestates.com (403 CONNECT). UNKNOWN about our read. Activated 2026-09-03; no inactive rows yet.
amlakalahsa    | UNPROBED                        | onboarded 2026-09-12: single-office Al-Ahsa WordPress+ACF site (6 CPTs, ~260 posts, all currently active). Full catalogue re-read each run, same shape as remal/amaall. No inactive rows yet — first crawl-vs-database prune cycle pending.
aqaratikom     | NO SIGNAL ON THE LISTING URL     | 2026-09-06 measured: dead and live are the SAME byte-identical 5,795-byte SPA shell with one shared title (12 dead + 12 live probed). The detail page cannot discriminate at all. An oracle must come from its API, not this page — unmeasured, so unwired.
aqarmonthly    | NO DEAD COHORT                  | 2026-09-06: no inactive rows. Live controls 12/12 HTTP 200 (all redirect, consistently).
arkaan         | EGRESS BLOCKED                  | 2026-09-06: gateway denies arkaanalaqar.com (403 CONNECT). UNKNOWN about our read. Activated 2026-09-03.
azdad          | UNPROBED                        | onboarded 2026-09-06 (corrected 40-candidate-audit link); own Next.js + Supabase stack, NOT a Nuzul/Wasalt clone. 25-listing catalogue re-read whole every run. No inactive rows yet — first crawl pending.
awal           | ORACLE POSSIBLE (CI 09-21)      | CI 2026-09-21: REACHABLE — the 09-06 "gateway denies awaalun.com" was our container, not them. 10/10 live HTTP 200, 6 distinct titles, 10 distinct body sizes. «تم البيع» appears on dead pages and on NO live page. Validate against a larger cohort and gate removals on an in-run canary before wiring.
bahadhabab     | EGRESS BLOCKED, FIX EXISTS      | 2026-09-06: gateway denies BOTH bahadhabab-res.nzl-backend.com and www.bahadhabab-res.com (403 CONNECT). UNKNOWN about our read. Fourth Nuzul SaaS tenant; port aldarim's canary-gated oracle verbatim and control-validate from a reachable egress — see the abwbna row.
eaqartabuk     | ORACLE POSSIBLE (CI 09-21)      | CI 2026-09-21: the 09-06 MIXED reading reproduced EXACTLY — dead {200:1, 404:2}. 10/10 live 200 with 10 distinct titles. «Not Found» is on dead pages and no live page; «تم البيع» is DISQUALIFIED, present on LIVE pages (the fursaghyr shape, caught here too).
erapulse       | NO DEAD COHORT                  | 2026-09-06: no inactive rows. Live controls 12/12 HTTP 200 (all redirect, consistently).
